iter	Passed	Remaining
0	142	142367
1	143	71609
2	144	47989
3	145	36175
4	146	29095
5	147	24381
6	148	21026
7	149	18481
8	149	16507
9	150	14921
10	151	13620
11	152	12535
12	153	11622
13	153	10840
14	154	10169
15	155	9589
16	156	9075
17	157	8610
18	158	8197
19	159	7820
20	160	7478
21	161	7166
22	162	6882
23	162	6619
24	163	6381
25	164	6160
26	165	5955
27	166	5766
28	166	5590
29	167	5429
30	168	5274
31	170	5150
32	171	5022
33	172	4898
34	173	4776
35	174	4664
36	174	4554
37	175	4451
38	176	4357
39	177	4266
40	178	4178
41	179	4094
42	180	4015
43	181	3940
44	182	3870
45	183	3799
46	184	3730
47	184	3667
48	185	3609
49	187	3555
50	188	3498
51	188	3444
52	189	3392
53	190	3342
54	191	3293
55	192	3244
56	193	3198
57	194	3154
58	195	3111
59	195	3070
60	196	3030
61	197	2990
62	198	2954
63	199	2918
64	200	2882
65	201	2852
66	202	2822
67	203	2788
68	204	2757
69	205	2727
70	206	2698
71	207	2670
72	208	2642
73	209	2618
74	210	2591
75	211	2565
76	211	2540
77	212	2516
78	213	2490
79	214	2466
80	215	2442
81	216	2420
82	216	2395
83	217	2377
84	218	2356
85	219	2336
86	220	2318
87	221	2299
88	222	2279
89	223	2261
90	224	2242
91	225	2223
92	226	2205
93	227	2188
94	227	2171
95	228	2153
96	229	2136
97	230	2120
98	231	2104
99	232	2090
100	233	2077
101	234	2062
102	235	2047
103	235	2031
104	236	2017
105	237	2004
106	238	1990
107	239	1978
108	240	1964
109	241	1951
110	242	1939
111	243	1927
112	244	1915
113	244	1903
114	245	1892
115	246	1882
116	247	1869
117	248	1859
118	249	1848
119	250	1837
120	251	1827
121	252	1815
122	253	1804
123	253	1793
124	254	1784
125	255	1774
126	256	1762
127	257	1752
128	258	1742
129	258	1732
130	259	1723
131	260	1715
132	261	1706
133	262	1698
134	263	1690
135	264	1681
136	265	1672
137	266	1664
138	267	1656
139	268	1647
140	269	1639
141	269	1629
142	270	1622
143	271	1614
144	272	1607
145	273	1600
146	274	1592
147	275	1585
148	276	1577
149	277	1572
150	278	1565
151	279	1558
152	280	1551
153	281	1544
154	282	1537
155	282	1530
156	283	1523
157	284	1516
158	285	1510
159	286	1504
160	287	1495
161	288	1490
162	288	1483
163	289	1477
164	290	1471
165	291	1465
166	292	1460
167	293	1455
168	294	1449
169	295	1444
170	296	1438
171	297	1432
172	298	1427
173	299	1423
174	300	1418
175	301	1413
176	302	1407
177	303	1402
178	304	1397
179	305	1392
180	306	1387
181	307	1383
182	308	1378
183	309	1373
184	310	1368
185	311	1363
186	312	1358
187	313	1353
188	314	1349
189	315	1344
190	316	1340
191	317	1334
192	318	1329
193	318	1325
194	319	1320
195	320	1316
196	321	1311
197	322	1307
198	324	1304
199	325	1300
200	326	1296
201	327	1292
202	328	1288
203	329	1284
204	330	1279
205	330	1275
206	331	1270
207	332	1266
208	333	1261
209	334	1257
210	335	1253
211	336	1249
212	336	1245
213	338	1241
214	338	1237
215	339	1233
216	340	1230
217	341	1226
218	342	1222
219	343	1218
220	344	1214
221	345	1211
222	346	1207
223	347	1203
224	348	1199
225	349	1196
226	350	1192
227	351	1188
228	352	1185
229	353	1182
230	354	1179
231	355	1176
232	356	1172
233	357	1169
234	358	1166
235	359	1163
236	360	1160
237	361	1156
238	362	1153
239	363	1149
240	364	1146
241	365	1143
242	365	1139
243	366	1136
244	367	1133
245	368	1130
246	369	1127
247	371	1125
248	372	1122
249	373	1119
250	374	1116
251	375	1113
252	376	1110
253	377	1107
254	378	1105
255	379	1102
256	380	1099
257	381	1096
258	382	1094
259	383	1091
260	384	1089
261	385	1087
262	387	1084
263	388	1082
264	389	1079
265	390	1076
266	391	1074
267	392	1071
268	393	1069
269	394	1066
270	395	1064
271	396	1061
272	397	1059
273	399	1057
274	400	1055
275	401	1053
276	402	1050
277	403	1047
278	404	1045
279	405	1043
280	406	1040
281	407	1038
282	408	1035
283	409	1033
284	410	1030
285	411	1027
286	412	1025
287	413	1023
288	415	1021
289	416	1018
290	417	1016
291	418	1014
292	419	1011
293	420	1009
294	421	1006
295	422	1004
296	423	1002
297	424	1000
298	425	997
299	426	995
300	427	993
301	429	992
302	430	989
303	431	987
304	432	985
305	433	983
